spotify_id,name,followers,popularity,genres,chart_hits,simplified_genres,main_genre
5ee4yhrWOxaxvL77BoVpVR,Lucky Luke,109763.0,61,['lithuanian electronic'],"['at (1)', 'be (1)', 'fi (1)', 'fr (1)', 'de (1)', 'hu (1)', 'lt (1)', 'lu (1)', 'nl (1)', 'no (1)', 'sk (1)', 'ch (1)']",['Other'],Other
4riOEaOW5hCeqomFDBk0aP,Rochy RD,704055.0,65,"['dembow', 'dominican pop', 'rap dominicano', 'trap latino']","['ar (1)', 'bo (1)', 'cl (1)', 'co (1)', 'cr (1)', 'do (29)', 'ec (1)', 'sv (1)', 'gt (1)', 'hn (2)', 'mx (1)', 'ni (3)', 'pa (1)', 'py (1)', 'pe (1)', 'es (2)', 'ch (1)', 'uy (1)', 'ad (1)']","['Other', 'Pop', 'Other', 'Other']",Pop
0GGDntDaQgJVknzJlXD1Nd,Braão,6946.0,56,[],"['br (2)', 'pt (1)']",[],Other
1sSYaQBOI71QZDZ9OWW3hp,Chani Nattan,38012.0,57,"['desi hip hop', 'punjabi pop']",['in (1)'],"['Hip-Hop', 'Pop']",Hip-Hop
4mnhyGRAuExTL4J0soT4za,Aviões do Forró,2526456.0,57,"['axe', 'forro', 'pagode', 'sertanejo', 'sertanejo pop', 'sertanejo universitario']",['br (1)'],"['Other', 'Other', 'Other', 'Other', 'Pop', 'Other']",Pop
6M6XXCcO5gI68XpIlrUL3Z,Young T & Bugsey,325649.0,59,"['afroswing', 'nottingham hip hop', 'uk hip hop']","['gb (4)', 'be (1)', 'bg (1)', 'ca (1)', 'cy (1)', 'dk (1)', 'eg (1)', 'fr (1)', 'gr (1)', 'ie (2)', 'lu (1)', 'my (1)', 'mt (2)', 'ma (1)', 'nl (1)', 'nz (2)', 'pa (1)', 'pt (1)', 'ro (2)', 'sg (1)', 'za (1)', 'ch (1)', 'ae (1)']","['Jazz', 'Hip-Hop', 'Hip-Hop']",Hip-Hop
7GcVOOrldYLwxGrCkELOno,Rebzyyx,189340.0,64,"['hyperpop', 'sped up', 'viral rap']","['bg (1)', 'cz (1)', 'ee (1)', 'lv (1)', 'lt (1)', 'pl (1)', 'ro (1)', 'ru (1)', 'sa (1)', 'ua (1)']","['Pop', 'Other', 'Hip-Hop']",Pop
02seUFsFQP7TH4hLrTj77o,Nathaniel Rateliff & The Night Sweats,544462.0,61,"['indie folk', 'modern blues rock', 'new americana', 'rock', 'stomp and holler']","['be (2)', 'is (1)', 'lv (1)', 'lt (1)', 'pl (1)', 'sk (1)', 'es (1)', 'ch (1)']","['Folk', 'Rock', 'Country', 'Rock', 'Other']",Rock
6q87vizIEdEN4NvlR6mjfT,Sheila On 7,5266696.0,64,"['indonesian alternative rock', 'indonesian pop']",['id (10)'],"['Rock', 'Pop']",Rock
2ysnwxxNtSgbb9t1m2Ur4j,George Ezra,3787113.0,75,"['folk-pop', 'neo-singer-songwriter']","['us (1)', 'gb (20)', 'au (4)', 'at (9)', 'be (9)', 'br (1)', 'bg (2)', 'ca (4)', 'cl (1)', 'co (1)', 'cr (1)', 'cy (3)', 'cz (7)', 'dk (6)', 'do (1)', 'ec (1)', 'sv (1)', 'ee (7)', 'fi (1)', 'fr (3)', 'de (5)', 'gr (4)', 'gt (1)', 'hn (1)', 'hk (2)', 'hu (4)', 'is (4)', 'ie (12)', 'il (1)', 'it (2)', 'lv (6)', 'lt (7)', 'lu (5)', 'my (1)', 'mt (4)', 'nl (9)', 'nz (3)', 'no (3)', 'pa (1)', 'py (1)', 'pe (1)', 'ph (1)', 'pl (4)', 'pt (3)', 'ro (1)', 'sg (2)', 'sk (5)', 'za (1)', 'es (2)', 'se (3)', 'ch (9)', 'tw (3)', 'th (1)', 'tr (1)', 'uy (1)']","['Pop', 'Other']",Pop
4iWkwAVzssjb8XgxdoOL6M,TIAGO IORC,2794432.0,63,"['brazilian rock', 'folk brasileiro', 'mpb', 'nova mpb']","['br (25)', 'pt (1)']","['Rock', 'Other', 'Other', 'Other']",Rock
7DuTB6wdzqFJGFLSH17k8e,Bhad Bhabie,3029382.0,59,"['pop', 'rap', 'social media pop', 'trap queen', 'viral rap']","['us (1)', 'au (1)', 'bg (3)', 'ca (1)', 'ee (1)', 'is (1)', 'lv (1)', 'lu (1)', 'nz (1)', 'ru (1)']","['Pop', 'Hip-Hop', 'Pop', 'Other', 'Hip-Hop']",Pop
2qAwMsiIjTzlmfAkXKvhVA,Armani White,92740.0,70,['indie hip hop'],"['us (1)', 'gb (1)', 'au (1)', 'at (1)', 'bg (1)', 'ca (1)', 'cy (1)', 'cz (1)', 'dk (1)', 'eg (1)', 'ee (1)', 'de (1)', 'hu (1)', 'is (1)', 'il (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'nz (1)', 'pl (1)', 'ro (1)', 'sa (1)', 'sg (1)', 'sk (1)', 'za (1)', 'kr (1)', 'ch (1)', 'ae (1)']",['Hip-Hop'],Hip-Hop
3hyEbRtp617pNCuuQjyOmc,Lost Kings,369714.0,59,"['edm', 'electro house', 'indie poptimism', 'pop', 'pop dance', 'pop edm', 'pop rap', 'tropical house']","['ca (1)', 'fi (1)', 'id (1)', 'lt (1)', 'my (2)', 'no (1)', 'ph (1)', 'sg (1)', 'se (2)', 'tw (2)', 'th (1)']","['Electronic', 'Electronic', 'Other', 'Pop', 'Other', 'Electronic', 'Hip-Hop', 'Electronic']",Electronic
2h9VgLswbVrXfdjW8UVqHC,Grupo 360,737166.0,61,"['corrido', 'corridos tumbados', 'musica mexicana', 'norteno', 'nueva musica mexicana']",['mx (2)'],"['Other', 'Other', 'Other', 'Other', 'Other']",Other
5EmEZjq8eHEC6qFnT63Lza,Tinlicker,130612.0,66,[],"['at (1)', 'be (1)', 'cy (1)', 'cz (1)', 'ee (1)', 'fr (1)', 'de (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'nl (1)', 'ro (1)', 'sk (1)', 'ch (1)']",[],Other
1iNqsUDUraNWrj00bqssQG,Dreamville,457507.0,68,"['hip hop', 'rap']","['us (17)', 'au (3)', 'bg (1)', 'ca (7)', 'cy (1)', 'gr (1)', 'lv (2)', 'lt (3)', 'mt (1)', 'nz (3)', 'ro (1)', 'sa (1)', 'za (19)', 'ae (2)']","['Hip-Hop', 'Hip-Hop']",Hip-Hop
2kIs76sEGiulKeqetZq6ua,Jok'air,840443.0,61,"['french hip hop', 'pop urbaine', 'rap calme', 'rap francais']",['fr (18)'],"['Hip-Hop', 'Other', 'Other', 'Other']",Hip-Hop
20gsENnposVs2I4rQ5kvrf,Sam Feldt,708920.0,73,"['dance pop', 'edm', 'electro house', 'pop', 'pop dance', 'pop edm', 'tropical house', 'uk pop']","['us (2)', 'gb (2)', 'au (2)', 'at (6)', 'be (3)', 'bg (2)', 'ca (2)', 'cy (1)', 'cz (4)', 'dk (6)', 'do (1)', 'eg (1)', 'ee (8)', 'fi (1)', 'fr (2)', 'de (7)', 'gr (5)', 'hk (2)', 'hu (6)', 'is (3)', 'id (2)', 'ie (3)', 'il (1)', 'it (1)', 'lv (4)', 'lt (8)', 'lu (2)', 'my (4)', 'mt (5)', 'ma (1)', 'nl (11)', 'nz (2)', 'no (9)', 'ph (3)', 'pl (2)', 'pt (2)', 'ro (1)', 'sa (1)', 'sg (3)', 'sk (6)', 'za (1)', 'se (8)', 'ch (7)', 'tw (2)', 'th (2)', 'tr (1)', 'ae (1)', 'vn (1)']","['Pop', 'Electronic', 'Electronic', 'Pop', 'Other', 'Electronic', 'Electronic', 'Pop']",Electronic
53KwLdlmrlCelAZMaLVZqU,James Blake,1274581.0,66,"['indie r&b', 'indie soul', 'uk alternative pop', 'uk pop']","['us (2)', 'gb (2)', 'au (4)', 'be (2)', 'bg (1)', 'ca (1)', 'cy (1)', 'dk (1)', 'ee (2)', 'fr (1)', 'gr (1)', 'is (3)', 'ie (2)', 'it (1)', 'lv (3)', 'lt (3)', 'lu (1)', 'nz (1)', 'no (2)', 'pl (2)', 'pt (9)', 'ro (1)', 'sk (1)', 'es (1)', 'se (1)', 'ch (1)']","['R&B', 'R&B', 'Pop', 'Pop']",R&B
26T6b8maqEVltcmE4kSDUl,Corona,166466.0,58,"['bubblegum dance', 'diva house', 'eurodance', 'europop', 'hip house']",['fi (1)'],"['Other', 'Electronic', 'Other', 'Pop', 'Electronic']",Electronic
1Fg19vpUJpAAPFjnKaVYVW,Reynmen,2609412.0,63,"['turkish hip hop', 'turkish trap pop']","['at (4)', 'bg (1)', 'cy (2)', 'de (5)', 'nl (1)', 'ch (1)', 'tr (15)']","['Hip-Hop', 'Pop']",Hip-Hop
6QfFTZJHFSe9Xyes6DkAli,Reto,816102.0,63,"['polish hip hop', 'polish trap']",['pl (29)'],"['Hip-Hop', 'Hip-Hop']",Hip-Hop
1eClJfHLoDI4rZe5HxzBFv,INXS,2166062.0,69,"['australian rock', 'dance rock', 'funk rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'pop rock', 'rock', 'soft rock']",['au (1)'],"['Rock', 'Rock', 'Rock', 'Other', 'Other', 'Other', 'Pop', 'Rock', 'Rock', 'Rock']",Rock
44DWomjW1oDuxIoBIRpmQ4,Rhove,305053.0,68,"['italian hip hop', 'trap italiana']","['it (16)', 'ch (1)']","['Hip-Hop', 'Other']",Hip-Hop
7GZJ2POiwPZoW7UVYjNj8i,Glockenbach,10386.0,59,[],"['at (2)', 'de (3)', 'ch (1)']",[],Other
0nJaMZM8paoA5HEUTUXPqi,Bear's Den,284936.0,59,"['folk-pop', 'indie folk', 'neo mellow', 'stomp and flutter', 'stomp and holler', 'uk americana']","['fr (3)', 'tw (1)', 'tr (1)']","['Pop', 'Folk', 'Other', 'Other', 'Other', 'Country']",Pop
7i9j813KFoSBMldGqlh2Z1,Riton,103090.0,68,"['dance pop', 'edm', 'house', 'pop dance', 'tropical house', 'uk dance']","['us (1)', 'gb (4)', 'au (3)', 'at (2)', 'be (4)', 'bg (1)', 'ca (1)', 'co (1)', 'cy (1)', 'cz (2)', 'dk (2)', 'ec (1)', 'ee (2)', 'fi (2)', 'fr (2)', 'de (2)', 'gr (1)', 'hk (1)', 'hu (2)', 'is (1)', 'ie (4)', 'il (1)', 'it (2)', 'lv (2)', 'lt (2)', 'lu (2)', 'mt (1)', 'ma (1)', 'nl (3)', 'nz (1)', 'no (1)', 'pe (1)', 'pl (1)', 'pt (1)', 'ro (1)', 'sa (1)', 'sg (1)', 'sk (2)', 'za (1)', 'kr (1)', 'es (1)', 'se (1)', 'ch (2)', 'tw (1)', 'tr (2)', 'ua (1)', 'ae (1)', 'uy (1)', 'ad (1)']","['Pop', 'Electronic', 'Electronic', 'Other', 'Electronic', 'Other']",Electronic
0cA0C4yBNRaN2EZsE2wT3Y,Daniel Levi,14358.0,56,['estonian pop'],['ee (3)'],['Pop'],Pop
2ySHS7UojGu20XfUPaBlyu,Devin Dawson,190695.0,58,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']","['us (1)', 'gb (1)', 'be (1)', 'ca (2)', 'cy (1)', 'ee (1)', 'hu (1)', 'lv (1)', 'lt (1)', 'lu (1)', 'mt (1)', 'sk (1)', 'ch (1)']","['Country', 'Country', 'Pop', 'Other', 'Rock']",Country
5n9bMYfz9qss2VOW89EVs2,Bomba Estéreo,987405.0,78,"['cumbia', 'latin alternative', 'pop electronico', 'tropical alternativo']","['ar (3)', 'bo (2)', 'cl (1)', 'co (9)', 'cr (2)', 'do (1)', 'ec (2)', 'sv (1)', 'gt (2)', 'hn (1)', 'mx (4)', 'ni (3)', 'pa (2)', 'py (1)', 'pe (4)', 'es (3)', 'uy (2)']","['Latin', 'Other', 'Other', 'Other']",Latin
4N8BwYTEC6XqykGvXXlmfv,George Benson,641846.0,63,"['adult standards', 'disco', 'jazz funk', 'jazz guitar', 'quiet storm', 'smooth jazz', 'soft rock', 'soul jazz', 'yacht rock']",['id (1)'],"['Other', 'Other', 'Other', 'Other', 'Other', 'Jazz', 'Rock', 'Jazz', 'Rock']",Jazz
5MouCg6ta7zAxsfMEbc1uh,OMI,599393.0,64,['dance pop'],"['us (4)', 'gb (5)', 'ar (5)', 'au (6)', 'at (5)', 'be (6)', 'bo (5)', 'br (4)', 'bg (4)', 'ca (5)', 'cl (5)', 'co (5)', 'cr (5)', 'cy (3)', 'cz (5)', 'dk (7)', 'do (5)', 'ec (5)', 'sv (5)', 'ee (5)', 'fi (4)', 'fr (5)', 'de (6)', 'gr (4)', 'gt (5)', 'hn (5)', 'hk (4)', 'hu (5)', 'is (4)', 'id (2)', 'ie (5)', 'it (5)', 'lv (4)', 'lt (5)', 'lu (4)', 'my (5)', 'mt (4)', 'mx (6)', 'nl (7)', 'nz (5)', 'ni (5)', 'no (4)', 'pa (6)', 'py (5)', 'pe (5)', 'ph (5)', 'pl (4)', 'pt (5)', 'sg (4)', 'sk (5)', 'es (6)', 'se (8)', 'ch (4)', 'tw (4)', 'tr (4)', 'uy (5)']",['Pop'],Pop
4TKTii6gnOnUXQHyuo9JaD,Sheryl Crow,945961.0,66,"['lilith', 'mellow gold', 'neo mellow', 'new wave pop', 'permanent wave', 'pop rock', 'rock', 'singer-songwriter']",['nl (1)'],"['Other', 'Other', 'Other', 'Pop', 'Other', 'Rock', 'Rock', 'Other']",Rock
1vVHevk2PD45epYnDi9CCc,Jack Stauber,1370194.0,63,['pittsburgh indie'],"['bo (1)', 'cl (1)', 'cr (1)', 'ec (1)', 'sv (1)', 'gt (1)', 'hn (1)', 'mx (1)', 'ni (1)', 'py (1)', 'pe (1)', 'ph (1)']",['Other'],Other
6ugw7JCu0AG7txRcRAxU8d,Mc Rd,60700.0,62,"['funk carioca', 'funk mtg', 'rave funk']","['ee (1)', 'lt (1)', 'sa (1)', 'ua (1)']","['Other', 'Other', 'Other']",Other
3ZfYo6sKskRv0wOyrZZdAj,Sayian Jimmy,55246.0,62,['urbano chileno'],['cl (3)'],['Other'],Other
1qAOsY7jv9GFTv4HoVof5P,Three Man Down,934513.0,56,"['thai indie pop', 'thai pop']",['th (19)'],"['Pop', 'Pop']",Pop
6O74knDqdv3XaWtkII7Xjp,Boyz II Men,2571495.0,65,"['boy band', 'contemporary r&b', 'new jack swing', 'r&b', 'urban contemporary']","['ie (1)', 'ph (2)']","['Other', 'R&B', 'Jazz', 'R&B', 'Other']",R&B
0XHM5ZNJDU8e4CfbWMeSzC,Roo Panes,193262.0,56,"['british singer-songwriter', 'indie folk', 'neo mellow', 'new americana', 'stomp and holler']","['au (1)', 'at (1)', 'be (1)', 'ca (1)', 'cz (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'lv (1)', 'lt (1)', 'my (1)', 'nl (1)', 'pl (2)', 'sg (1)', 'sk (1)', 'ch (1)', 'tw (1)', 'tr (1)']","['Other', 'Folk', 'Other', 'Country', 'Other']",Folk
6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,48474.0,69,['nueva musica mexicana'],['mx (1)'],['Other'],Other
